date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-kelp_rseth_protocol,forecasted_TVL_opchain-kelp_rseth_protocol
2024-10-11 00:00:00,0.1219575187808873,0.10558840429259446,0.0,0.0,0.0,0.0,360470350.089187,611610986.9494337
2024-10-12 00:00:00,0.12849519492891953,0.08594938966370255,0.0,0.0,0.0,0.0,321175377.9196554,531483059.1671938
2024-10-13 00:00:00,0.1750681707586587,0.04994213277451336,0.0,4.755328820573242e-10,0.0,0.0,366155258.843995,711432628.2846313
2024-10-14 00:00:00,0.13801022527595602,0.15011264414515918,0.0,1.2865343022667933e-10,0.0,0.0,329957933.6097012,630468566.14805
2024-10-15 00:00:00,0.1395021898054309,0.13574269364489952,0.0,0.0,0.0,0.0,346007116.22226334,797842988.7011133
2024-10-16 00:00:00,0.27815139299797065,0.10776791517144992,0.0,0.0,0.0,0.0,308736597.4792908,699633576.9183794
2024-10-17 00:00:00,0.21563515565142238,0.06783578490615826,0.0,0.0,0.0,0.0,315778160.41185385,729913965.1425399
2024-10-18 00:00:00,0.2258764668888337,0.0765782743192816,0.0,0.0,0.0,0.0,313482385.05321556,656986553.8026873
2024-10-19 00:00:00,0.157481160547039,0.16281263360360465,0.0,1.312224779089356e-10,0.0,0.0,320699291.4084612,714240196.1973683
2024-10-20 00:00:00,0.14896188741734923,0.1871868832521397,0.0,-1.1240835086160585e-11,0.0,0.0,325035463.04749775,700836596.6768395
2024-10-21 00:00:00,0.15207866966486155,0.18176878349164116,0.0,0.0,0.0,0.0,311787696.35911185,729497044.6025394
2024-10-22 00:00:00,0.17839783175503687,0.18880308554735395,0.0,-1.1325414736122025e-26,0.0,0.0,329369129.5250648,741185755.7565231
2024-10-23 00:00:00,0.11855547549085577,0.11584400534749174,0.0,-3.9871345239143e-27,0.0,0.0,303453345.8928993,712199455.4544007
2024-10-24 00:00:00,0.13477209012048505,0.11245114967658323,0.0,-2.20344581122562e-27,0.0,0.0,321512852.8164916,675513338.9780127
2024-10-25 00:00:00,0.19629389713432846,0.14185080433290778,0.0,-1.6005912994555215e-07,0.0,0.0,307824542.284536,623491303.4428841
