date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-09-17 00:00:00,0.144922211355639,0.07687764269182482,0.02777097887420528,5.083157617638228e-05,0.0,0.0,307973061.46829545,251679877.53867358
2024-09-18 00:00:00,0.15858767696839915,0.1672031092787272,0.028462965648896818,3.4235672150999755e-05,0.0,0.0,315667186.9924705,261300166.90136003
2024-09-19 00:00:00,0.3143768420826707,0.13680473371777813,0.026078508583685225,4.076896743550328e-05,0.0,0.0,322705940.68714917,280381682.64777637
2024-09-20 00:00:00,0.335107872453978,0.1218518842619316,0.0477861643781432,2.125622865080025e-05,0.0,0.0,299925549.36761814,259081821.34198624
2024-09-21 00:00:00,0.19759924328553766,0.15501905691317283,0.0609737165826671,2.11352324358367e-05,0.0,0.0,328793920.82282996,238316896.811399
2024-09-22 00:00:00,0.2873787106388474,0.2861072002774989,0.12141901177423284,2.6155854281334132e-05,0.0,0.0,345155912.037389,240002716.021627
2024-09-23 00:00:00,0.2078681061232897,0.15829537032602828,0.10845811156271046,2.2639860963983217e-05,0.0,0.0,325652859.567235,247534213.2533384
2024-09-24 00:00:00,0.25738353208163983,0.16691534626992913,0.06014607874078936,2.5058841024855145e-05,0.0,0.0,315968236.6297514,268987883.3186963
2024-09-25 00:00:00,0.17667189988703189,0.16036903574691258,0.03727270418152046,2.4154758186484122e-05,0.0,0.0,336687018.85744166,277780049.71439195
2024-09-26 00:00:00,0.16919106700140213,0.23942552681793242,0.02915791002854969,3.471656183642383e-05,0.0,0.0,340985709.43480104,248904253.40482375
2024-09-27 00:00:00,0.1696172129944621,0.19126189242503244,0.028299906791230272,3.642976061628509e-05,0.0,0.0,300280369.68141353,243244336.3866962
2024-09-28 00:00:00,0.11685808458645829,0.20396524541967678,0.025832170308650815,2.432962475673144e-05,0.0,0.0,313556602.96674895,260323592.071323
2024-09-29 00:00:00,0.14805008196489106,0.2153008613756686,0.0635334132288448,2.3153096063531458e-05,0.0,0.0,308296628.31978005,262209163.85112315
2024-09-30 00:00:00,0.26420616116909734,0.20333689819775144,0.06336582847169876,2.807095328947937e-05,0.0,0.0,332494549.47093135,250398944.83745497
