date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-contango_v1_protocol,forecasted_TVL_opchain-contango_v1_protocol
2024-10-08 00:00:00,0.10209057373529733,0.11962827858882254,0.021077675744677178,-2.5577169711210097e-25,0.0,0.0,265169.6639206112,365277.3407904706
2024-10-09 00:00:00,0.06390010110903768,0.13809482924184968,0.0288175652683288,-2.8478531628608906e-25,0.0,0.0,238611.48679909948,373331.5014529179
2024-10-10 00:00:00,0.0806266955767551,0.06568839612737604,0.018352510494269142,0.0,0.0,0.0,246623.48363855382,356273.86365668144
2024-10-11 00:00:00,0.0701238021890337,0.05884370691928222,0.03140317895661916,0.0,0.0,0.0,238525.6967092044,357818.74153264135
2024-10-12 00:00:00,0.07509592149608803,0.06184933194637098,0.0154947533587083,0.0,0.0,0.0,235764.2594858317,352555.35339033825
2024-10-13 00:00:00,0.04330463083791406,0.10956583287392689,0.020821317952785252,-1.3523810544097205e-06,0.0,0.0,243208.1434964539,388596.584931424
2024-10-14 00:00:00,0.05492583530578777,0.07469643992511774,0.011803906077093524,-1.3883486086130878e-06,0.0,0.0,220009.70153022453,350398.2888937231
2024-10-15 00:00:00,0.057181680648701265,0.08133209728829559,0.035497451888843116,-1.2821641965738776e-06,0.0,0.0,226729.19490242333,371788.47498738137
2024-10-16 00:00:00,0.11023912852038786,0.10443062465436706,0.031007209031809053,-1.2469076753807395e-06,0.0,0.0,234451.11600682288,350052.3534121921
2024-10-17 00:00:00,0.1139810831180812,0.0899187841734243,0.03703249322154409,-1.7375932801715452e-06,0.0,0.0,230105.66218323825,377835.2937752503
2024-10-18 00:00:00,0.1366654788777085,0.10535397794987174,0.03645450690176846,-1.4954933181530466e-06,0.0,0.0,222830.52072428184,380075.04562466394
2024-10-19 00:00:00,0.10333112018796983,0.12668066778214684,0.048593952174508376,8.555536953232907e-10,0.0,0.0,236553.31338436255,364493.2985521081
2024-10-20 00:00:00,0.03699243103210007,0.10755971857118397,0.036465760046727844,7.954295248254414e-10,0.0,0.0,213888.64708329632,333175.2192022569
2024-10-21 00:00:00,0.040239302897296915,0.08206398858283057,0.03189833604575435,1.6513086407118788e-09,0.0,0.0,210290.12495123886,352520.10050653183
2024-10-22 00:00:00,0.09779719848503451,0.10787033930660175,0.0286423287862858,2.231504543185649e-09,0.0,0.0,210466.68510094096,401245.1604172611
2024-10-23 00:00:00,0.0917186612865112,0.13167621443918537,0.019499292369452175,2.3549021560103837e-09,0.0,0.0,187860.51708502814,365720.24715789536
2024-10-24 00:00:00,0.08324295545108282,0.14830808501705958,0.033837543680331254,1.8609700494526445e-09,0.0,0.0,195603.6764047779,336404.38698228664
2024-10-25 00:00:00,0.05484633709509578,0.12635916378105116,0.03537313043448907,0.0,0.0,0.0,179117.38104889917,370888.8969285106
2024-10-26 00:00:00,0.04650271875703352,0.09890483919550114,0.018863211763079337,0.0,0.0,0.0,203120.50789715754,342204.8630931243
2024-10-27 00:00:00,0.07121245800507554,0.117785778750209,0.025047283113260464,0.0,0.0,0.0,180228.5152420085,322807.68995518587
2024-10-28 00:00:00,0.08224422547949749,0.09806094784409487,0.017970291662050875,0.0,0.0,0.0,194051.1034029755,338564.81875749235
2024-10-29 00:00:00,0.10878103312867252,0.09701220864074886,0.017535190215077153,0.0,0.0,0.0,188237.213473958,322809.8088106688
2024-10-30 00:00:00,0.13108952708670352,0.11261317755696809,0.02369155705603217,0.0,0.0,0.0,196992.15762006456,327664.0211088655
2024-10-31 00:00:00,0.06297728833215846,0.11504441188057178,0.031541948635862446,-3.852641949652157e-06,0.0,0.0,196618.02161530382,353978.878695118
2024-11-01 00:00:00,0.1870086889555828,0.08483708268514185,0.026427674860712826,-6.8826663431556895e-06,0.0,0.0,206370.929674223,333009.81456847163
2024-11-02 00:00:00,0.12429180943938051,0.06332238326141519,0.03076262586004887,-8.481063478028181e-06,0.0,0.0,212461.3161032268,323283.8233098046
2024-11-03 00:00:00,0.12084719943850963,0.10764806793572984,0.01619128412140107,1.1549257148186312e-09,0.0,0.0,207292.38278101807,297004.638508977
2024-11-04 00:00:00,0.08604627233774174,0.11167576042723931,0.02668622500277926,2.627103728904661e-09,0.0,0.0,210855.54273810433,321225.8851548959
2024-11-05 00:00:00,0.0870083260014672,0.1108232851368267,0.03408930444706792,3.1995419021087502e-09,0.0,0.0,214555.12776853968,294055.64501137077
2024-11-06 00:00:00,0.13241562492639308,0.13062464697036572,0.021943306339687406,0.0,0.0,0.0,213066.72754358142,306857.1465828758
2024-11-07 00:00:00,0.15693861252171035,0.055464529736894794,0.02264278833138745,0.0,0.0,0.0,193564.42269751357,355390.49953380716
2024-11-08 00:00:00,0.1403941203862834,0.12388907730386156,0.024791903628174745,0.0,0.0,0.0,217464.77132522702,366535.06897130806
2024-11-09 00:00:00,0.10441496120301628,0.18192953374492127,0.04472083240760582,1.104352929530265e-09,0.0,0.0,212743.7010569926,380418.29030489956
2024-11-10 00:00:00,0.07678169537174126,0.23273393670492845,0.023166111621400278,7.030296256711981e-10,0.0,0.0,191962.1920580196,367721.0071460544
2024-11-11 00:00:00,0.12246779360709925,0.14500507756340736,0.036700331307477845,7.381753831646345e-10,0.0,0.0,209297.89537164976,407129.6603827683
2024-11-12 00:00:00,0.10999516647055178,0.10062493119032319,0.020145490427988515,0.0,0.0,0.0,201609.60081970395,429833.11711008864
2024-11-13 00:00:00,0.15199283607321612,0.11883438635509692,0.02166705140149407,0.0,0.0,0.0,204824.62913235876,459705.77494883
2024-11-14 00:00:00,0.05248485653997092,0.08634035865327183,0.01019162715295344,0.0,0.0,0.0,231790.61069209114,403558.18345179403
