transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2025-02-15,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-27,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-02,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-03,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,0x59f78de21a0b05d96ae00c547ba951a3b905602f,0.0,0.0,0.0,0.0,0.0,0.0
