transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-10-03,21131.0,11110.0,7.203418446406315e+18,0.08351336010843638,1646.0,0.7735373537353736,0.18,2.743899697128405e+20
2024-10-04,22079.0,11931.0,8.980255993913434e+18,0.08833727843490666,1080.0,0.7922219428379851,0.19,2.8337022570675395e+20
2024-10-05,25092.0,13449.0,1.3071218934374744e+19,0.08775459269716726,1142.0,0.7761915384043423,0.22,2.964414446411287e+20
2024-10-06,24885.0,13534.0,8.902647908427648e+18,0.10313855737515618,994.0,0.8209694103738732,0.22,3.0534409254955634e+20
2024-10-07,29472.0,15810.0,4.2047776660399724e+18,0.09815839757645319,886.0,0.7851359898798229,0.26,3.095488702155963e+20
2024-10-08,30621.0,15970.0,4.014334062215298e+18,0.10628934055726307,1313.0,0.8315591734502191,0.26,3.135632042778116e+20
2024-10-09,82974.0,42386.0,4.078887702796254e+18,0.10586325786103602,25956.0,0.33487472278582553,0.69,3.1764209198060785e+20
2024-10-10,59478.0,43331.0,6.879292890600405e+18,0.12397987859063034,663.0,0.9352888232443285,0.71,3.245213848712082e+20
2024-10-11,54793.0,40793.0,2.3718344086544696e+18,0.13905429980004808,622.0,0.951854484838085,0.67,3.268932192798627e+20
2024-10-12,63642.0,31926.0,1.4309049706645944e+19,0.1637844085685103,434.0,0.9483493077742279,0.52,3.4120226898650864e+20
2024-10-13,46629.0,35896.0,5.298086565640448e+18,0.19720671056367842,717.0,0.8739692444840651,0.59,3.465003555521491e+20
2024-10-14,52021.0,38012.0,1.3408695904189526e+19,0.20695659720690515,1961.0,0.9125802378196359,0.62,3.5990905145633866e+20
2024-10-15,60548.0,39587.0,1.8048142202686136e+19,0.2371810351802188,7665.0,0.9293202313890924,0.65,3.779571936590248e+20
2024-10-16,63604.0,44478.0,1.4043844482394765e+19,0.19321376986280658,399.0,0.8507127119025136,0.73,3.9200103814141955e+20
2024-10-17,65110.0,45261.0,3.0812387004464783e+18,0.22192720968873528,336.0,0.937937738892203,0.74,3.95082276841866e+20
2024-10-18,62448.0,42713.0,4.6076326291652024e+18,0.2132413041497131,416.0,0.9286399925081357,0.7,3.996899094710312e+20
2024-10-19,60121.0,39908.0,3.475172448422811e+18,0.19108297088984916,456.0,0.8709281347098327,0.65,4.03165081919454e+20
2024-10-20,49066.0,31182.0,2.9565018081261665e+18,0.17848509323069042,453.0,0.9205631454044,0.51,4.0612158372758015e+20
2024-10-21,93599.0,46679.0,2.1082885836042097e+18,0.22507376805024468,1776.0,0.6265344159043681,0.76,4.082298723111844e+20
2024-10-22,69646.0,46971.0,8.490625239498073e+18,0.24586312599733498,2368.0,0.9124779119030891,0.77,4.167204975506825e+20
2024-10-23,57383.0,41776.0,9.639183057806395e+18,0.18197930128818396,212.0,0.9394389122941402,0.68,4.263596806084889e+20
2024-10-24,68371.0,47310.0,7.539674166938442e+18,0.1768597943222688,305.0,0.8323187486789262,0.77,4.3389935477542735e+20
2024-10-25,66015.0,46014.0,9.570829686597593e+18,0.1588793341009246,213.0,0.9315860390315991,0.75,4.4347018446202497e+20
2024-10-26,66687.0,46414.0,1.0037574769310142e+19,0.1440798313919236,152.0,0.9372172189425604,0.76,4.5350775923133514e+20
2024-10-27,64450.0,45402.0,4.3982059120050253e+18,0.13860970513940224,145.0,0.9472490198669662,0.74,4.5790596514334015e+20
2024-10-28,93093.0,47072.0,4.003902993986309e+18,0.13108888934773782,177.0,0.9150237933378654,0.77,4.6190986813732644e+20
2024-10-29,61812.0,44715.0,1.2108249336843658e+18,0.09306529345308108,153.0,0.958850497595885,0.73,4.631206930710108e+20
2024-10-30,62935.0,44834.0,2.611853273915786e+18,0.15377218180352908,88.0,0.9066110541107195,0.73,4.657325463449266e+20
2024-10-31,60624.0,43081.0,1.3284470140733422e+18,0.1493251518595158,110.0,0.9113066084816973,0.7,4.670609933589999e+20
2024-11-01,58841.0,41010.0,1.6317857288452355e+18,0.1479898478818412,213.0,0.8556693489392831,0.72,4.686927790878451e+20
2024-11-02,57222.0,38167.0,1.645134289501655e+18,0.11553051740802703,143.0,0.7740980428118531,0.67,4.703379133773468e+20
2024-11-03,90053.0,45007.0,3.308531357216081e+18,0.10383080541983453,144.0,0.7325304952562934,0.79,4.736464447345629e+20
2024-11-04,66702.0,46765.0,1.175923224254017e+18,0.10814387836053903,100.0,0.8684272425959585,0.82,4.748223679588169e+20
2024-11-05,57063.0,39384.0,1.1846318523066335e+18,0.10206407631167982,92.0,0.9046313223644119,0.69,4.760069998111236e+20
2024-11-06,57217.0,36606.0,3.2576281328053325e+18,0.09070123948366765,121.0,0.7661585532426378,0.64,4.792646279439289e+20
2024-11-07,79779.0,43960.0,2.2252812631152427e+19,0.10208198308034702,434.0,0.6711783439490446,0.77,5.015174405750813e+20
2024-11-08,15307.0,6442.0,1.7278157021113307e+19,0.054477484309824666,62.0,0.8820242160819621,0.11,5.187955975961946e+20
2024-11-09,551.0,354.0,8.484890093111738e+18,0.0073417003534931,47.0,0.4971751412429379,0.01,5.272804876893063e+20
2024-11-10,25777.0,25719.0,8.925618273273102e+18,0.008365566007088491,523.0,0.0015552704226447374,0.45,5.362061059625794e+20
2024-11-11,22407.0,22380.0,2.5887716223276355e+18,0.00453104461962646,7.0,0.9927613941018767,0.39,5.3879487758490704e+20
2024-11-12,41077.0,21327.0,3.896150574080045e+18,0.003533943415885639,9.0,0.8809021428236508,0.37,5.426910281589871e+20
2024-11-13,15955.0,15931.0,3.321304794433505e+18,0.004226116040687914,6.0,0.8492247818718223,0.28,5.460123329534206e+20
2024-11-14,48868.0,25161.0,3.0186310667814927e+18,0.010449404124352763,7.0,0.628075195739438,0.44,5.490309640202021e+20
2024-11-15,25198.0,25144.0,6.321290536008306e+18,0.0099505512933705,10.0,0.9947900095450207,0.44,5.553522545562104e+20
2024-11-16,39886.0,25086.0,1.4324071839406807e+18,0.007837475942995576,1.0,0.996850833134019,0.44,5.5678466174015105e+20
2024-11-17,29506.0,24775.0,4.530588769791926e+18,0.008777379833290692,5.0,0.9930978809283552,0.43,5.6131525050994295e+20
2024-11-18,35401.0,25137.0,4.2985947307203876e+18,0.008132025299946322,10.0,0.9788757608306481,0.44,5.656138452406633e+20
2024-11-19,37176.0,25088.0,3.962574204455879e+18,0.007108796687738476,6.0,0.9966916454081632,0.44,5.695764194451192e+20
2024-11-20,25135.0,25121.0,1.9570693951486374e+18,0.009005169548112316,5.0,0.9954221567612754,0.44,5.7153348884026786e+20
2024-11-21,25118.0,25101.0,1.960101184110267e+18,0.006843832404043339,5.0,0.9964543245289033,0.44,5.734935900243781e+20
2024-11-22,25144.0,25120.0,2.0861894178058552e+18,0.0077857869692140634,10.0,0.9958598726114649,0.44,5.7557977944218396e+20
2024-11-23,43455.0,25138.0,5.375582345650819e+18,0.007214759316959094,4.0,0.9950672288964914,0.44,5.809553617878348e+20
2024-11-24,25094.0,25088.0,1.6373977680081219e+18,0.0063388861189659085,3.0,0.9966916454081632,0.44,5.825927595558429e+20
2024-11-25,24228.0,24205.0,1.1463153205506264e+18,0.0032700908731738533,10.0,0.9959925635199339,0.42,5.837390748763935e+20
2024-11-26,6381.0,5048.0,3.591236855593817e+18,0.006418530706234361,24.0,0.6259904912836767,0.09,5.8733031173198735e+20
2024-11-27,35089.0,28831.0,2.0584945510801244e+19,0.03723609160101086,219.0,0.15074052235441018,0.5,6.079152572427886e+20
2024-11-28,34459.0,27931.0,6.524992768168156e+18,0.03320386177478739,149.0,0.8883319609036554,0.49,6.144402500109567e+20
2024-11-29,18565.0,11494.0,4.412568121461971e+18,0.033775238295745316,207.0,0.7968505307116757,0.2,6.188528181324187e+20
2024-11-30,15447.0,7947.0,2.2067589039641567e+18,0.029342299426479004,213.0,0.7451868629671574,0.14,6.210595770363828e+20
2024-12-01,15573.0,8073.0,2.905422451582424e+18,0.031771903736471506,107.0,0.8161773813947727,0.08,6.239649994879652e+20
