date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-09-19 00:00:00,0.45793752722351805,-0.035214583027072595,-0.01984692158161346,-5.430426393604984e-06,0.0,18899208.64371685,108479580.02811633,111367926.62810004
2024-09-20 00:00:00,0.4348326698195754,-0.03519810799017534,-0.023375625536234103,-1.0232868555613256e-05,0.0,15173018.455455454,118640946.17800896,114914843.52957004
2024-09-21 00:00:00,0.4033108272913701,-0.027271574456895147,-0.021908153312290776,-1.1064443757717893e-05,0.0,25755414.21513819,115901951.28227995,110999805.36241227
2024-09-22 00:00:00,0.3357353006078899,0.34479729185332625,0.11319974711081503,8.672290734973681e-09,0.0,54104009.13674638,127305760.05417632,112197329.04160598
2024-09-23 00:00:00,-0.038410091413025794,0.2704647316446229,0.07844350004517792,2.6083723702126352e-09,0.0,80646564.8782276,122992598.02176109,106005560.48208813
2024-09-24 00:00:00,0.16390002194560402,0.310247364068681,0.06699948783758357,5.286688285440012e-09,0.0,40921419.12948193,119261452.29908933,115634612.74446645
2024-09-25 00:00:00,0.07030415987061814,0.12210353799241484,0.06448176987846385,6.721629059042605e-08,0.0,56634634.05280986,115479989.60085236,118185950.97081757
2024-09-26 00:00:00,0.10789695656372202,0.12891603028052642,0.09926859000448209,4.054295318001514e-08,0.0,54884031.600737564,120031720.53644288,118359062.7152712
2024-09-27 00:00:00,0.08963774147551626,0.10968866189180822,0.07141343923035659,3.406770755849765e-08,0.0,49244355.946792044,119642677.14537452,120615676.83457696
2024-09-28 00:00:00,0.22145637114122765,0.18458061517578625,0.18232914343596013,2.5236199438504893e-08,0.0,59558998.40238279,115929924.09637626,108875533.79489133
2024-09-29 00:00:00,0.17435639683093493,0.18031830557835057,0.17653215827787055,-1.0222900390453063e-08,0.0,77502028.9756723,122256286.50385591,114961366.99567594
2024-09-30 00:00:00,0.15955798675435393,0.13181882005350148,0.1904548259973143,0.0,0.0,57046643.45777695,122035682.41564232,111266479.08428253
2024-10-01 00:00:00,0.20527420816732775,0.08779651178802032,0.01578084739267342,-3.456555329182726e-06,0.0,62464317.121328026,120391379.21986942,113109314.97727013
2024-10-02 00:00:00,0.14219045495756932,0.10744433699327818,0.012132170617367337,-6.590472825839395e-06,0.0,60952521.09045528,123801857.75532332,106788961.21247359
2024-10-03 00:00:00,0.21037918260806457,0.0770015271033905,0.00339955631342053,-1.0836799083179245e-05,0.0,67050604.002269685,117550117.81893429,103602921.40419626
2024-10-04 00:00:00,0.12376824132719678,0.1347379469170394,0.041047924300510505,-3.3269063293278825e-06,0.0,54743332.72413099,119610429.07895142,98566553.58132495
2024-10-05 00:00:00,0.16769944627008773,0.12783748774624235,0.05521278004398108,-8.513671801966104e-06,0.0,38695963.12071619,128282441.05371253,108350334.95703036
2024-10-06 00:00:00,0.15834720388570941,0.10828674541087169,0.044905496404414186,-1.036163737289661e-05,0.0,53445648.1739873,121467043.58242334,107151425.0582577
2024-10-07 00:00:00,0.41892746766361144,0.11780957096066513,0.0042463487233831195,5.019354244748797e-07,0.0,86989408.97366998,123872627.85162185,116409732.39325762
2024-10-08 00:00:00,0.2210667394827214,0.11697809422952991,0.18324066609263384,5.820684561118576e-07,0.0,47620414.4088861,124751621.6280542,109370888.41712117
2024-10-09 00:00:00,0.3518614816158393,-0.02644574068567763,0.023234047041172688,3.2536616366374784e-07,0.0,69997802.54639727,120230909.59616119,107044377.85121632
2024-10-10 00:00:00,0.12679300025395204,0.17252804201964703,0.07165482335176766,-5.610241747758092e-06,0.0,43834437.63832972,119399756.84982227,105632830.71173663
2024-10-11 00:00:00,0.30399666724889274,0.2546155645135361,0.0684960402537151,-1.1994637423428189e-05,0.0,71206643.96726301,123018242.80808353,111861141.95227738
2024-10-12 00:00:00,0.2918941017997973,0.34327017332748483,0.04726274473781631,-1.63742428961004e-05,0.0,65841058.22938282,124870357.11885926,112182177.00216943
2024-10-13 00:00:00,0.23150323737586112,0.13813255852672096,0.13110807445317496,-3.994998032013219e-06,0.0,53976399.76941582,116634431.76976249,113062756.12702817
2024-10-14 00:00:00,0.24663323352379898,0.10125119007234268,0.06956542375559355,-5.779064645799383e-06,0.0,45034157.92044946,119291688.91133244,104713480.72254626
2024-10-15 00:00:00,0.11099737133595551,0.14532983750706074,0.033221360440809235,-9.806711738613181e-06,0.0,66602996.51068264,119105086.34483974,121006029.18834285
2024-10-16 00:00:00,0.14402802888688274,0.17254326517697058,0.13793964220800814,-4.835715559842091e-06,0.0,78584088.4859166,122805368.36430982,117796538.3822439
